ano_laudo;documento;substancia;qtd_comprimidos_unidades;qtd_selos_unidades;qnt_solido_gramas;qtd_erva_gramas;qtd_papel_gramas;volume_ml;Grupo;Observação
2020;Laudo 954/2020-INC/DITEC/PF;LSD;;3;;;;;drogas clássicas;
2020;Laudo 1043/2020-INC/DITEC/PF;MDMA;;;0,20;;;;drogas clássicas;
2020;Laudo 1064/2020-INC/DITEC/PF;MDMA;;;307,21;;;;drogas clássicas;
2020;Laudo 1064/2020-INC/DITEC/PF;MDMA;826;;;;;;drogas clássicas;
2020;Laudo 1093/2020-INC/DITEC/PF;MDMA;;;76,15;;;;drogas clássicas;
2020;Laudo 1193/2020-INC/DITEC/PF;MDMA;2;;;;;;drogas clássicas;
2020;Laudo 1193/2020-INC/DITEC/PF;MDMA;;;0,56;;;;drogas clássicas;
2020;Laudo 1211/2020-INC/DITEC/PF;MDMA;;;18,59;;;;drogas clássicas;
2020;Laudo 1399/2020-INC/DITEC/PF;MDMA;4;;;;;;drogas clássicas;
2020;Laudo 1642/2020-INC/DITEC/PF;MDMA;38;;;;;;drogas clássicas;
2020;Laudo 1644/2020-INC/DITEC/PF;MDMA;;;0,47;;;;drogas clássicas;
2020;Laudo 1644/2020-INC/DITEC/PF;MDA;13;;;;;;drogas clássicas;
2020;Laudo 1791/2020-INC/DITEC/PF;MDMA;145;;;;;;drogas clássicas;
2020;Laudo 1965/2020-INC/DITEC/PF;MDMA;99;;;;;;drogas clássicas;
2020;Laudo 2084/2020-INC/DITEC/PF;MDMA;50;;;;;;drogas clássicas;
2020;Laudo 2257/2020-INC/DITEC/PF;MDMA;50;;;;;;drogas clássicas;
2020;Laudo 2633/2020-INC/DITEC/PF;MDMA;28;;;;;;drogas clássicas;
2020;Laudo 2633/2020-INC/DITEC/PF;2-fluoro-desclorocetamina;;;4,04;;;;Aril-ciclo-alquilaminas;
2020;Laudo 2707/2020-INC/DITEC/PF;MDMA;52;;;;;;drogas clássicas;
2020;Laudo 2711/2020-INC/DITEC/PF;MDMA;200;;;;;;drogas clássicas;
2020;Laudo 3042/2020-INC/DITEC/PF;MDMA;24;;;;;;drogas clássicas;
2020;Laudo 007/2020-SETEC/SR/PF/AL;MDMA;502;;;;;;drogas clássicas;
2020;Laudo 012/2020-SETEC/SR/PF/AL;MDMA;54;;;;;;drogas clássicas;
2020;Laudo 188/2020-SETEC/SR/PF/AL;MDMA;32;;;;;;drogas clássicas;
2020;Laudo 188/2020-SETEC/SR/PF/AL;MDMA;;;8,15;;;;drogas clássicas;
2020;Laudo 147/2020-SETEC/SR/PF/AM;MDMA;2;;;;;;drogas clássicas;
2020;Laudo 160/2020-SETEC/SR/PF/AM;MDMA;145;;;;;;drogas clássicas;
2020;Laudo 178/2020-SETEC/SR/PF/AM;MDMA;1021;;;;;;drogas clássicas;
2020;Laudo 180/2020-SETEC/SR/PF/AM;MDMA;497;;;;;;drogas clássicas;
2020;Laudo 199/2020-SETEC/SR/PF/AM;MDMA;1011;;;;;;drogas clássicas;
2020;Laudo 201/2020-SETEC/SR/PF/AM;MDMA;40;;;;;;drogas clássicas;
2020;Laudo 203/2020-SETEC/SR/PF/AM;MDMA;50;;;;;;drogas clássicas;
2020;Laudo 205/2020-SETEC/SR/PF/AM;MDMA;100;;;;;;drogas clássicas;
2020;Laudo 206/2020-SETEC/SR/PF/AM;MDMA;50;;;;;;drogas clássicas;
2020;Laudo 215/2020-SETEC/SR/PF/AM;MDMA;8;;;;;;drogas clássicas;
2020;Laudo 220/2020-SETEC/SR/PF/AM;MDMA;300;;;;;;drogas clássicas;
2020;Laudo 222/2020-SETEC/SR/PF/AM;MDMA;;;9,63;;;;drogas clássicas;
2020;Laudo 239/2020-SETEC/SR/PF/AM;MDMA;;;72,00;;;;drogas clássicas;
2020;Laudo 248/2020-SETEC/SR/PF/AM;MDMA;1057;;;;;;drogas clássicas;
2020;Laudo 254/2020-SETEC/SR/PF/AM;MDMA;;;65,12;;;;drogas clássicas;
2020;Laudo 286/2020-SETEC/SR/PF/AM;MDMA;97;;;;;;drogas clássicas;
2020;Laudo 293/2020-SETEC/SR/PF/AM;MDMA;108;;;;;;drogas clássicas;
2020;Laudo 302/2020-SETEC/SR/PF/AM;MDMA;1015;;;;;;drogas clássicas;
2020;Laudo 320/2020-SETEC/SR/PF/AM;MDMA;;;25,10;;;;drogas clássicas;
2020;Laudo 328/2020-SETEC/SR/PF/AM;MDMA;71;;;;;;drogas clássicas;
2020;Laudo 329/2020-SETEC/SR/PF/AM;MDMA;71;;;;;;drogas clássicas;
2020;Laudo 341/2020-SETEC/SR/PF/AM;MDMA;;;15,00;;;;drogas clássicas;
2020;Laudo 352/2020-SETEC/SR/PF/AM;MDMA;70;;;;;;drogas clássicas;
2020;Laudo 369/2020-SETEC/SR/PF/AM;MDMA;63;;;;;;drogas clássicas;
2020;Laudo 375/2020-SETEC/SR/PF/AM;MDMA;;;9,70;;;;drogas clássicas;
2020;Laudo 389/2020-SETEC/SR/PF/AM;Etilona;10;;;;;;catinonas sintéticas;
2020;Laudo 401/2020-SETEC/SR/PF/AM;MDMA;80;;;;;;drogas clássicas;
2020;Laudo 401/2020-SETEC/SR/PF/AM;MDA;292;;;;;;drogas clássicas;
2020;Laudo 429/2020-SETEC/SR/PF/AM;MDMA;152;;;;;;drogas clássicas;
2020;Laudo 435/2020-SETEC/SR/PF/AM;MDMA;1011;;;;;;drogas clássicas;
2020;Laudo 454/2020-SETEC/SR/PF/AM;MDMA;3355;;;;;;drogas clássicas;
2020;Laudo 468/2020-SETEC/SR/PF/AM;MDMA;39;;;;;;drogas clássicas;
2020;Laudo 471/2020-SETEC/SR/PF/AM;MDMA;5;;;;;;drogas clássicas;
2020;Laudo 474/2020-SETEC/SR/PF/AM;MDMA;64;;;;;;drogas clássicas;
2020;Laudo 476/2020-SETEC/SR/PF/AM;MDMA;;;9,83;;;;drogas clássicas;
2020;Laudo 589/2020-SETEC/SR/PF/AM;MDMA;;;19,99;;;;drogas clássicas;
2020;Laudo 608/2020-SETEC/SR/PF/AM;MDMA;;;125,48;;;;drogas clássicas;
2020;Laudo 613/2020-SETEC/SR/PF/AM;MDMA;29;;;;;;drogas clássicas;
2020;Laudo 688/2020-SETEC/SR/PF/AM;MDMA;32;;;;;;drogas clássicas;
2020;Laudo 839/2020-SETEC/SR/PF/AM;MDMA;;;14,75;;;;drogas clássicas;
2020;Laudo 870/2020-SETEC/SR/PF/AM;MDMA;;;20,00;;;;drogas clássicas;
2020;Laudo 875/2020-SETEC/SR/PF/AM;MDMA;100;;;;;;drogas clássicas;
2020;Laudo 880/2020-SETEC/SR/PF/AM;MDMA;100;;;;;;drogas clássicas;
2020;Laudo 092/2020-SETEC/SR/PF/BA;MDMA;200;;;;;;drogas clássicas;
2020;Laudo 093/2020-SETEC/SR/PF/BA;MDMA;;;102,30;;;;drogas clássicas;
2020;Laudo 099/2020-SETEC/SR/PF/BA;MDMA;100;;;;;;drogas clássicas;
2020;Laudo 108/2020-SETEC/SR/PF/BA;MDMA;145;;;;;;drogas clássicas;
2020;Laudo 117/2020-SETEC/SR/PF/BA;MDMA;101;;;;;;drogas clássicas;
2020;Laudo 119/2020-SETEC/SR/PF/BA;MDMA;97;;;;;;drogas clássicas;
2020;Laudo 126/2020-SETEC/SR/PF/BA;MDMA;150;;;;;;drogas clássicas;
2020;Laudo 444/2020-SETEC/SR/PF/BA;MDMA;;;0,60;;;;drogas clássicas;
2020;Laudo 645/2020-SETEC/SR/PF/BA;MDMA;100;;;;;;drogas clássicas;
2020;Laudo 649/2020-SETEC/SR/PF/BA;MDMA;;;11,25;;;;drogas clássicas;
2020;Laudo 652/2020-SETEC/SR/PF/BA;MDMA;;;28,04;;;;drogas clássicas;
2020;Laudo 654/2020-SETEC/SR/PF/BA;MDMA;44;;;;;;drogas clássicas;
2020;Laudo 673/2020-SETEC/SR/PF/BA;MDMA;52;;;;;;drogas clássicas;
2020;Laudo 679/2020-SETEC/SR/PF/BA;MDMA;34;;;;;;drogas clássicas;
2020;Laudo 685/2020-SETEC/SR/PF/BA;MDMA;1200;;;;;;drogas clássicas;
2020;Laudo 704/2020-SETEC/SR/PF/BA;MDMA;25;;;;;;drogas clássicas;
2020;Laudo 712/2020-SETEC/SR/PF/BA;MDMA;113;;;;;;drogas clássicas;
2020;Laudo 713/2020-SETEC/SR/PF/BA;MDMA;200;;;;;;drogas clássicas;
2020;Laudo 714/2020-SETEC/SR/PF/BA;MDMA;51;;;;;;drogas clássicas;
2020;Laudo 726/2020-SETEC/SR/PF/BA;MDMA;200;;;;;;drogas clássicas;
2020;Laudo 740/2020-SETEC/SR/PF/BA;MDMA;199;;;;;;drogas clássicas;
2020;Laudo 741/2020-SETEC/SR/PF/BA;MDMA;101;;;;;;drogas clássicas;
2020;Laudo 746/2020-SETEC/SR/PF/BA;MDMA;81;;;;;;drogas clássicas;
2020;Laudo 748/2020-SETEC/SR/PF/BA;MDMA;64;;;;;;drogas clássicas;
2020;Laudo 1058/2020-SETEC/SR/PF/BA;MDMA;9;;;;;;drogas clássicas;
2020;Laudo 1336/2019-SETEC/SR/PF/CE;MDMA;25;;;;;;drogas clássicas;
2020;Laudo 002/2020-SETEC/SR/PF/CE;MDMA;;;11,73;;;;drogas clássicas;
2020;Laudo 007/2020-SETEC/SR/PF/CE;MDMA;95;;;;;;drogas clássicas;
2020;Laudo 008/2020-SETEC/SR/PF/CE;MDMA;51;;;;;;drogas clássicas;
2020;Laudo 013/2020-SETEC/SR/PF/CE;MDMA;1;;;;;;drogas clássicas;
2020;Laudo 013/2020-SETEC/SR/PF/CE;MDA;1;;;;;;drogas clássicas;
2020;Laudo 013/2020-SETEC/SR/PF/CE;LSD;;3;;;;;drogas clássicas;
2020;Laudo 052/2020-SETEC/SR/PF/ES;MDMA;5;;;;;;drogas clássicas;
2020;Laudo 054/2020-SETEC/SR/PF/ES;MDMA;5;;;;;;drogas clássicas;
2020;Laudo 055/2020-SETEC/SR/PF/ES;MDMA;10;;;;;;drogas clássicas;
2020;Laudo 096/2020-SETEC/SR/PF/ES;MDMA;;;1,30;;;;drogas clássicas;
2020;Laudo 100/2020-SETEC/SR/PF/ES;MDMA;80;;;;;;drogas clássicas;
2020;Laudo 299/2020-SETEC/SR/PF/ES;MDMA;266;;;;;;drogas clássicas;
2020;Laudo 365/2020-SETEC/SR/PF/ES;MDMA;;;38,50;;;;drogas clássicas;
2020;Laudo 374/2020-SETEC/SR/PF/ES;MDMA;10;;;;;;drogas clássicas;
2020;Laudo 421/2020-SETEC/SR/PF/ES;MDMA;51;;;;;;drogas clássicas;
2020;Laudo 421/2020-SETEC/SR/PF/ES;MDMA;;;0,75;;;;drogas clássicas;
2020;Laudo 482/2020-SETEC/SR/PF/ES;MDMA;66;;;;;;drogas clássicas;
2020;Laudo 617/2020-SETEC/SR/PF/ES;MDMA;;;103,30;;;;drogas clássicas;
2020;Laudo 620/2020-SETEC/SR/PF/ES;MDMA;111;;;;;;drogas clássicas;
2020;Laudo 624/2020-SETEC/SR/PF/ES;MDMA;256;;;;;;drogas clássicas;
2020;Laudo 624/2020-SETEC/SR/PF/ES;MDMA;;;51,50;;;;drogas clássicas;
2020;Laudo 626/2020-SETEC/SR/PF/ES;MDMA;37;;;;;;drogas clássicas;
2020;Laudo 626/2020-SETEC/SR/PF/ES;MDMA;;;6,30;;;;drogas clássicas;
2020;Laudo 628/2020-SETEC/SR/PF/ES;MDMA;509;;;;;;drogas clássicas;
2020;Laudo 087/2020-SETEC/SR/PF/GO;MDMA;52;;;;;;drogas clássicas;
2020;Laudo 167/2020-SETEC/SR/PF/GO;MDMA;;;1,20;;;;drogas clássicas;
2020;Laudo 187/2020-SETEC/SR/PF/GO;MDMA;200;;;;;;drogas clássicas;
2020;Laudo 346/2020-SETEC/SR/PF/GO;MDMA;77;;;;;;drogas clássicas;
2020;Laudo 590/2020-SETEC/SR/PF/GO;MDMA;475;;;;;;drogas clássicas;
2020;Laudo 900/2020-SETEC/SR/PF/GO;MDMA;338;;;;;;drogas clássicas;
2020;Laudo 004/2020-UTEC/DPF/JFA/MG;MDMA;9;;;;;;drogas clássicas;
2020;Laudo 558/2020-NUTEC/DPF/UDI/MG;MDMA;100;;;;;;drogas clássicas;
2020;Laudo 157/2020-SETEC/SR/PF/MG;MDMA;2574;;;;;;drogas clássicas;
2020;Laudo 268/2020-SETEC/SR/PF/MG;MDMA;502;;;;;;drogas clássicas;
2020;Laudo 326/2020-SETEC/SR/PF/MG;MDMA;;;10,13;;;;drogas clássicas;
2020;"Laudo 380/2020-
SETEC/SR/PF/MG";MDMA;200;;;;;;drogas clássicas;
2020;Laudo 402/2020-SETEC/SR/PF/MG;MDMA;127;;;;;;drogas clássicas;
2020;Laudo 441/2020-SETEC/SR/PF/MG;MDMA;35;;;;;;drogas clássicas;
2020;Laudo 453/2020-SETEC/SR/PF/MG;MDMA;;;83,98;;;;drogas clássicas;
2020;Laudo 456/2020-SETEC/SR/PF/MG;MDMA;;;20,88;;;;drogas clássicas;
2020;Laudo 457/2020-SETEC/SR/PF/MG;MDMA;150;;;;;;drogas clássicas;
2020;Laudo 547/2020-SETEC/SR/PF/MG;MDMA;112;;;;;;drogas clássicas;
2020;Laudo 547/2020-SETEC/SR/PF/MG;MDA;13;;;;;;drogas clássicas;
2020;Laudo 553/2020-SETEC/SR/PF/MG;MDMA;173;;;;;;drogas clássicas;
2020;Laudo 553/2020-SETEC/SR/PF/MG;MDA;543;;;;;;drogas clássicas;
2020;Laudo 573/2020-SETEC/SR/PF/MG;MDMA;;;5,00;;;;drogas clássicas;
2020;Laudo 573/2020-SETEC/SR/PF/MG;MDMA;113;;;;;;drogas clássicas;
2020;Laudo 581/2020-SETEC/SR/PF/MG;MDMA;2008;;;;;;drogas clássicas;
2020;Laudo 588/2020-SETEC/SR/PF/MG;MDMA;45;;;;;;drogas clássicas;
2020;Laudo 588/2020-SETEC/SR/PF/MG;Eutilona;30;;;;;;catinonas sintéticas;
2020;Laudo 610/2020-SETEC/SR/PF/MG;MDMA;250;;;;;;drogas clássicas;
2020;Laudo 614/2020-SETEC/SR/PF/MG;MDMA;120;;;;;;drogas clássicas;
2020;Laudo 654/2020-SETEC/SR/PF/MG;MDMA;239;;;;;;drogas clássicas;
2020;Laudo 804/2020-SETEC/SR/PF/MG;MDMA;33;;;;;;drogas clássicas;
