uf;municipio;evento;data_referencia;total;total_peso;abrangencia;formulario;ano;ano_data;mes_data;trimestre_data
SC;NÃO INFORMADO;Tráfico de drogas;01/01/2015;584;;Estadual;Formulário 4;2015;2015;1;1
SE;NÃO INFORMADO;Tráfico de drogas;01/01/2015;45;;Estadual;Formulário 4;2015;2015;1;1
SP;NÃO INFORMADO;Tráfico de drogas;01/01/2015;3441;;Estadual;Formulário 4;2015;2015;1;1
TO;NÃO INFORMADO;Tráfico de drogas;01/01/2015;;;Estadual;Formulário 4;2015;2015;1;1
AC;NÃO INFORMADO;Tráfico de drogas;01/02/2015;;;Estadual;Formulário 4;2015;2015;2;1
AL;NÃO INFORMADO;Tráfico de drogas;01/02/2015;114;;Estadual;Formulário 4;2015;2015;2;1
AM;NÃO INFORMADO;Tráfico de drogas;01/02/2015;174;;Estadual;Formulário 4;2015;2015;2;1
AP;NÃO INFORMADO;Tráfico de drogas;01/02/2015;20;;Estadual;Formulário 4;2015;2015;2;1
BA;NÃO INFORMADO;Tráfico de drogas;01/02/2015;391;;Estadual;Formulário 4;2015;2015;2;1
CE;NÃO INFORMADO;Tráfico de drogas;01/02/2015;322;;Estadual;Formulário 4;2015;2015;2;1
DF;NÃO INFORMADO;Tráfico de drogas;01/02/2015;239;;Estadual;Formulário 4;2015;2015;2;1
GO;NÃO INFORMADO;Tráfico de drogas;01/02/2015;;;Estadual;Formulário 4;2015;2015;2;1
MA;NÃO INFORMADO;Tráfico de drogas;01/02/2015;159;;Estadual;Formulário 4;2015;2015;2;1
MG;NÃO INFORMADO;Tráfico de drogas;01/02/2015;2370;;Estadual;Formulário 4;2015;2015;2;1
MS;NÃO INFORMADO;Tráfico de drogas;01/02/2015;277;;Estadual;Formulário 4;2015;2015;2;1
MT;NÃO INFORMADO;Tráfico de drogas;01/02/2015;244;;Estadual;Formulário 4;2015;2015;2;1
PA;NÃO INFORMADO;Tráfico de drogas;01/02/2015;369;;Estadual;Formulário 4;2015;2015;2;1
PB;NÃO INFORMADO;Tráfico de drogas;01/02/2015;42;;Estadual;Formulário 4;2015;2015;2;1
PE;NÃO INFORMADO;Tráfico de drogas;01/02/2015;411;;Estadual;Formulário 4;2015;2015;2;1
PI;NÃO INFORMADO;Tráfico de drogas;01/02/2015;10;;Estadual;Formulário 4;2015;2015;2;1
PR;NÃO INFORMADO;Tráfico de drogas;01/02/2015;;;Estadual;Formulário 4;2015;2015;2;1
RJ;NÃO INFORMADO;Tráfico de drogas;01/02/2015;2096;;Estadual;Formulário 4;2015;2015;2;1
RN;NÃO INFORMADO;Tráfico de drogas;01/02/2015;24;;Estadual;Formulário 4;2015;2015;2;1
RO;NÃO INFORMADO;Tráfico de drogas;01/02/2015;76;;Estadual;Formulário 4;2015;2015;2;1
RR;NÃO INFORMADO;Tráfico de drogas;01/02/2015;;;Estadual;Formulário 4;2015;2015;2;1
RS;NÃO INFORMADO;Tráfico de drogas;01/02/2015;685;;Estadual;Formulário 4;2015;2015;2;1
SC;NÃO INFORMADO;Tráfico de drogas;01/02/2015;567;;Estadual;Formulário 4;2015;2015;2;1
SE;NÃO INFORMADO;Tráfico de drogas;01/02/2015;39;;Estadual;Formulário 4;2015;2015;2;1
SP;NÃO INFORMADO;Tráfico de drogas;01/02/2015;3560;;Estadual;Formulário 4;2015;2015;2;1
TO;NÃO INFORMADO;Tráfico de drogas;01/02/2015;;;Estadual;Formulário 4;2015;2015;2;1
AC;NÃO INFORMADO;Tráfico de drogas;01/03/2015;;;Estadual;Formulário 4;2015;2015;3;1
AL;NÃO INFORMADO;Tráfico de drogas;01/03/2015;102;;Estadual;Formulário 4;2015;2015;3;1
AM;NÃO INFORMADO;Tráfico de drogas;01/03/2015;90;;Estadual;Formulário 4;2015;2015;3;1
AP;NÃO INFORMADO;Tráfico de drogas;01/03/2015;34;;Estadual;Formulário 4;2015;2015;3;1
BA;NÃO INFORMADO;Tráfico de drogas;01/03/2015;563;;Estadual;Formulário 4;2015;2015;3;1
CE;NÃO INFORMADO;Tráfico de drogas;01/03/2015;471;;Estadual;Formulário 4;2015;2015;3;1
DF;NÃO INFORMADO;Tráfico de drogas;01/03/2015;269;;Estadual;Formulário 4;2015;2015;3;1
GO;NÃO INFORMADO;Tráfico de drogas;01/03/2015;;;Estadual;Formulário 4;2015;2015;3;1
MA;NÃO INFORMADO;Tráfico de drogas;01/03/2015;181;;Estadual;Formulário 4;2015;2015;3;1
MG;NÃO INFORMADO;Tráfico de drogas;01/03/2015;2493;;Estadual;Formulário 4;2015;2015;3;1
MS;NÃO INFORMADO;Tráfico de drogas;01/03/2015;297;;Estadual;Formulário 4;2015;2015;3;1
MT;NÃO INFORMADO;Tráfico de drogas;01/03/2015;273;;Estadual;Formulário 4;2015;2015;3;1
PA;NÃO INFORMADO;Tráfico de drogas;01/03/2015;458;;Estadual;Formulário 4;2015;2015;3;1
PB;NÃO INFORMADO;Tráfico de drogas;01/03/2015;17;;Estadual;Formulário 4;2015;2015;3;1
PE;NÃO INFORMADO;Tráfico de drogas;01/03/2015;467;;Estadual;Formulário 4;2015;2015;3;1
PI;NÃO INFORMADO;Tráfico de drogas;01/03/2015;17;;Estadual;Formulário 4;2015;2015;3;1
PR;NÃO INFORMADO;Tráfico de drogas;01/03/2015;;;Estadual;Formulário 4;2015;2015;3;1
RJ;NÃO INFORMADO;Tráfico de drogas;01/03/2015;2282;;Estadual;Formulário 4;2015;2015;3;1
RN;NÃO INFORMADO;Tráfico de drogas;01/03/2015;25;;Estadual;Formulário 4;2015;2015;3;1
RO;NÃO INFORMADO;Tráfico de drogas;01/03/2015;96;;Estadual;Formulário 4;2015;2015;3;1
RR;NÃO INFORMADO;Tráfico de drogas;01/03/2015;;;Estadual;Formulário 4;2015;2015;3;1
RS;NÃO INFORMADO;Tráfico de drogas;01/03/2015;923;;Estadual;Formulário 4;2015;2015;3;1
SC;NÃO INFORMADO;Tráfico de drogas;01/03/2015;569;;Estadual;Formulário 4;2015;2015;3;1
SE;NÃO INFORMADO;Tráfico de drogas;01/03/2015;49;;Estadual;Formulário 4;2015;2015;3;1
SP;NÃO INFORMADO;Tráfico de drogas;01/03/2015;3880;;Estadual;Formulário 4;2015;2015;3;1
TO;NÃO INFORMADO;Tráfico de drogas;01/03/2015;0;;Estadual;Formulário 4;2015;2015;3;1
AC;NÃO INFORMADO;Tráfico de drogas;01/04/2015;;;Estadual;Formulário 4;2015;2015;4;2
AL;NÃO INFORMADO;Tráfico de drogas;01/04/2015;104;;Estadual;Formulário 4;2015;2015;4;2
AM;NÃO INFORMADO;Tráfico de drogas;01/04/2015;159;;Estadual;Formulário 4;2015;2015;4;2
AP;NÃO INFORMADO;Tráfico de drogas;01/04/2015;25;;Estadual;Formulário 4;2015;2015;4;2
BA;NÃO INFORMADO;Tráfico de drogas;01/04/2015;465;;Estadual;Formulário 4;2015;2015;4;2
CE;NÃO INFORMADO;Tráfico de drogas;01/04/2015;375;;Estadual;Formulário 4;2015;2015;4;2
DF;NÃO INFORMADO;Tráfico de drogas;01/04/2015;281;;Estadual;Formulário 4;2015;2015;4;2
GO;NÃO INFORMADO;Tráfico de drogas;01/04/2015;;;Estadual;Formulário 4;2015;2015;4;2
MA;NÃO INFORMADO;Tráfico de drogas;01/04/2015;136;;Estadual;Formulário 4;2015;2015;4;2
MG;NÃO INFORMADO;Tráfico de drogas;01/04/2015;2398;;Estadual;Formulário 4;2015;2015;4;2
MS;NÃO INFORMADO;Tráfico de drogas;01/04/2015;344;;Estadual;Formulário 4;2015;2015;4;2
MT;NÃO INFORMADO;Tráfico de drogas;01/04/2015;253;;Estadual;Formulário 4;2015;2015;4;2
PA;NÃO INFORMADO;Tráfico de drogas;01/04/2015;438;;Estadual;Formulário 4;2015;2015;4;2
PB;NÃO INFORMADO;Tráfico de drogas;01/04/2015;38;;Estadual;Formulário 4;2015;2015;4;2
PE;NÃO INFORMADO;Tráfico de drogas;01/04/2015;438;;Estadual;Formulário 4;2015;2015;4;2
PI;NÃO INFORMADO;Tráfico de drogas;01/04/2015;10;;Estadual;Formulário 4;2015;2015;4;2
PR;NÃO INFORMADO;Tráfico de drogas;01/04/2015;;;Estadual;Formulário 4;2015;2015;4;2
RJ;NÃO INFORMADO;Tráfico de drogas;01/04/2015;2013;;Estadual;Formulário 4;2015;2015;4;2
RN;NÃO INFORMADO;Tráfico de drogas;01/04/2015;28;;Estadual;Formulário 4;2015;2015;4;2
RO;NÃO INFORMADO;Tráfico de drogas;01/04/2015;88;;Estadual;Formulário 4;2015;2015;4;2
RR;NÃO INFORMADO;Tráfico de drogas;01/04/2015;;;Estadual;Formulário 4;2015;2015;4;2
RS;NÃO INFORMADO;Tráfico de drogas;01/04/2015;913;;Estadual;Formulário 4;2015;2015;4;2
SC;NÃO INFORMADO;Tráfico de drogas;01/04/2015;550;;Estadual;Formulário 4;2015;2015;4;2
SE;NÃO INFORMADO;Tráfico de drogas;01/04/2015;49;;Estadual;Formulário 4;2015;2015;4;2
SP;NÃO INFORMADO;Tráfico de drogas;01/04/2015;3792;;Estadual;Formulário 4;2015;2015;4;2
TO;NÃO INFORMADO;Tráfico de drogas;01/04/2015;;;Estadual;Formulário 4;2015;2015;4;2
AC;NÃO INFORMADO;Tráfico de drogas;01/05/2015;;;Estadual;Formulário 4;2015;2015;5;2
AL;NÃO INFORMADO;Tráfico de drogas;01/05/2015;119;;Estadual;Formulário 4;2015;2015;5;2
AM;NÃO INFORMADO;Tráfico de drogas;01/05/2015;188;;Estadual;Formulário 4;2015;2015;5;2
AP;NÃO INFORMADO;Tráfico de drogas;01/05/2015;27;;Estadual;Formulário 4;2015;2015;5;2
BA;NÃO INFORMADO;Tráfico de drogas;01/05/2015;435;;Estadual;Formulário 4;2015;2015;5;2
CE;NÃO INFORMADO;Tráfico de drogas;01/05/2015;378;;Estadual;Formulário 4;2015;2015;5;2
DF;NÃO INFORMADO;Tráfico de drogas;01/05/2015;250;;Estadual;Formulário 4;2015;2015;5;2
GO;NÃO INFORMADO;Tráfico de drogas;01/05/2015;;;Estadual;Formulário 4;2015;2015;5;2
MA;NÃO INFORMADO;Tráfico de drogas;01/05/2015;196;;Estadual;Formulário 4;2015;2015;5;2
MG;NÃO INFORMADO;Tráfico de drogas;01/05/2015;2229;;Estadual;Formulário 4;2015;2015;5;2
MS;NÃO INFORMADO;Tráfico de drogas;01/05/2015;354;;Estadual;Formulário 4;2015;2015;5;2
MT;NÃO INFORMADO;Tráfico de drogas;01/05/2015;272;;Estadual;Formulário 4;2015;2015;5;2
PA;NÃO INFORMADO;Tráfico de drogas;01/05/2015;489;;Estadual;Formulário 4;2015;2015;5;2
PB;NÃO INFORMADO;Tráfico de drogas;01/05/2015;34;;Estadual;Formulário 4;2015;2015;5;2
PE;NÃO INFORMADO;Tráfico de drogas;01/05/2015;469;;Estadual;Formulário 4;2015;2015;5;2
PI;NÃO INFORMADO;Tráfico de drogas;01/05/2015;9;;Estadual;Formulário 4;2015;2015;5;2
PR;NÃO INFORMADO;Tráfico de drogas;01/05/2015;;;Estadual;Formulário 4;2015;2015;5;2
RJ;NÃO INFORMADO;Tráfico de drogas;01/05/2015;2056;;Estadual;Formulário 4;2015;2015;5;2
RN;NÃO INFORMADO;Tráfico de drogas;01/05/2015;20;;Estadual;Formulário 4;2015;2015;5;2
RO;NÃO INFORMADO;Tráfico de drogas;01/05/2015;84;;Estadual;Formulário 4;2015;2015;5;2
RR;NÃO INFORMADO;Tráfico de drogas;01/05/2015;;;Estadual;Formulário 4;2015;2015;5;2
RS;NÃO INFORMADO;Tráfico de drogas;01/05/2015;995;;Estadual;Formulário 4;2015;2015;5;2
SC;NÃO INFORMADO;Tráfico de drogas;01/05/2015;614;;Estadual;Formulário 4;2015;2015;5;2
SE;NÃO INFORMADO;Tráfico de drogas;01/05/2015;43;;Estadual;Formulário 4;2015;2015;5;2
SP;NÃO INFORMADO;Tráfico de drogas;01/05/2015;3998;;Estadual;Formulário 4;2015;2015;5;2
TO;NÃO INFORMADO;Tráfico de drogas;01/05/2015;;;Estadual;Formulário 4;2015;2015;5;2
AC;NÃO INFORMADO;Tráfico de drogas;01/06/2015;;;Estadual;Formulário 4;2015;2015;6;2
AL;NÃO INFORMADO;Tráfico de drogas;01/06/2015;75;;Estadual;Formulário 4;2015;2015;6;2
AM;NÃO INFORMADO;Tráfico de drogas;01/06/2015;169;;Estadual;Formulário 4;2015;2015;6;2
AP;NÃO INFORMADO;Tráfico de drogas;01/06/2015;12;;Estadual;Formulário 4;2015;2015;6;2
BA;NÃO INFORMADO;Tráfico de drogas;01/06/2015;418;;Estadual;Formulário 4;2015;2015;6;2
CE;NÃO INFORMADO;Tráfico de drogas;01/06/2015;402;;Estadual;Formulário 4;2015;2015;6;2
DF;NÃO INFORMADO;Tráfico de drogas;01/06/2015;296;;Estadual;Formulário 4;2015;2015;6;2
GO;NÃO INFORMADO;Tráfico de drogas;01/06/2015;;;Estadual;Formulário 4;2015;2015;6;2
MA;NÃO INFORMADO;Tráfico de drogas;01/06/2015;161;;Estadual;Formulário 4;2015;2015;6;2
MG;NÃO INFORMADO;Tráfico de drogas;01/06/2015;2303;;Estadual;Formulário 4;2015;2015;6;2
MS;NÃO INFORMADO;Tráfico de drogas;01/06/2015;366;;Estadual;Formulário 4;2015;2015;6;2
MT;NÃO INFORMADO;Tráfico de drogas;01/06/2015;263;;Estadual;Formulário 4;2015;2015;6;2
PA;NÃO INFORMADO;Tráfico de drogas;01/06/2015;411;;Estadual;Formulário 4;2015;2015;6;2
PB;NÃO INFORMADO;Tráfico de drogas;01/06/2015;39;;Estadual;Formulário 4;2015;2015;6;2
PE;NÃO INFORMADO;Tráfico de drogas;01/06/2015;421;;Estadual;Formulário 4;2015;2015;6;2
PI;NÃO INFORMADO;Tráfico de drogas;01/06/2015;4;;Estadual;Formulário 4;2015;2015;6;2
PR;NÃO INFORMADO;Tráfico de drogas;01/06/2015;;;Estadual;Formulário 4;2015;2015;6;2
RJ;NÃO INFORMADO;Tráfico de drogas;01/06/2015;1937;;Estadual;Formulário 4;2015;2015;6;2
RN;NÃO INFORMADO;Tráfico de drogas;01/06/2015;26;;Estadual;Formulário 4;2015;2015;6;2
RO;NÃO INFORMADO;Tráfico de drogas;01/06/2015;72;;Estadual;Formulário 4;2015;2015;6;2
RR;NÃO INFORMADO;Tráfico de drogas;01/06/2015;;;Estadual;Formulário 4;2015;2015;6;2
RS;NÃO INFORMADO;Tráfico de drogas;01/06/2015;845;;Estadual;Formulário 4;2015;2015;6;2
SC;NÃO INFORMADO;Tráfico de drogas;01/06/2015;525;;Estadual;Formulário 4;2015;2015;6;2
SE;NÃO INFORMADO;Tráfico de drogas;01/06/2015;47;;Estadual;Formulário 4;2015;2015;6;2
SP;NÃO INFORMADO;Tráfico de drogas;01/06/2015;4002;;Estadual;Formulário 4;2015;2015;6;2
TO;NÃO INFORMADO;Tráfico de drogas;01/06/2015;;;Estadual;Formulário 4;2015;2015;6;2
AC;NÃO INFORMADO;Tráfico de drogas;01/07/2015;;;Estadual;Formulário 4;2015;2015;7;3
AL;NÃO INFORMADO;Tráfico de drogas;01/07/2015;104;;Estadual;Formulário 4;2015;2015;7;3
AM;NÃO INFORMADO;Tráfico de drogas;01/07/2015;198;;Estadual;Formulário 4;2015;2015;7;3
AP;NÃO INFORMADO;Tráfico de drogas;01/07/2015;17;;Estadual;Formulário 4;2015;2015;7;3
BA;NÃO INFORMADO;Tráfico de drogas;01/07/2015;517;;Estadual;Formulário 4;2015;2015;7;3
CE;NÃO INFORMADO;Tráfico de drogas;01/07/2015;415;;Estadual;Formulário 4;2015;2015;7;3
DF;NÃO INFORMADO;Tráfico de drogas;01/07/2015;266;;Estadual;Formulário 4;2015;2015;7;3
GO;NÃO INFORMADO;Tráfico de drogas;01/07/2015;;;Estadual;Formulário 4;2015;2015;7;3
MA;NÃO INFORMADO;Tráfico de drogas;01/07/2015;182;;Estadual;Formulário 4;2015;2015;7;3
MG;NÃO INFORMADO;Tráfico de drogas;01/07/2015;2253;;Estadual;Formulário 4;2015;2015;7;3
MS;NÃO INFORMADO;Tráfico de drogas;01/07/2015;382;;Estadual;Formulário 4;2015;2015;7;3
MT;NÃO INFORMADO;Tráfico de drogas;01/07/2015;308;;Estadual;Formulário 4;2015;2015;7;3
PA;NÃO INFORMADO;Tráfico de drogas;01/07/2015;490;;Estadual;Formulário 4;2015;2015;7;3
PB;NÃO INFORMADO;Tráfico de drogas;01/07/2015;31;;Estadual;Formulário 4;2015;2015;7;3
PE;NÃO INFORMADO;Tráfico de drogas;01/07/2015;372;;Estadual;Formulário 4;2015;2015;7;3
PI;NÃO INFORMADO;Tráfico de drogas;01/07/2015;13;;Estadual;Formulário 4;2015;2015;7;3
PR;NÃO INFORMADO;Tráfico de drogas;01/07/2015;;;Estadual;Formulário 4;2015;2015;7;3
RJ;NÃO INFORMADO;Tráfico de drogas;01/07/2015;2321;;Estadual;Formulário 4;2015;2015;7;3
RN;NÃO INFORMADO;Tráfico de drogas;01/07/2015;32;;Estadual;Formulário 4;2015;2015;7;3
RO;NÃO INFORMADO;Tráfico de drogas;01/07/2015;73;;Estadual;Formulário 4;2015;2015;7;3
RR;NÃO INFORMADO;Tráfico de drogas;01/07/2015;;;Estadual;Formulário 4;2015;2015;7;3
RS;NÃO INFORMADO;Tráfico de drogas;01/07/2015;844;;Estadual;Formulário 4;2015;2015;7;3
SC;NÃO INFORMADO;Tráfico de drogas;01/07/2015;606;;Estadual;Formulário 4;2015;2015;7;3
SE;NÃO INFORMADO;Tráfico de drogas;01/07/2015;29;;Estadual;Formulário 4;2015;2015;7;3
SP;NÃO INFORMADO;Tráfico de drogas;01/07/2015;3993;;Estadual;Formulário 4;2015;2015;7;3
TO;NÃO INFORMADO;Tráfico de drogas;01/07/2015;;;Estadual;Formulário 4;2015;2015;7;3
AC;NÃO INFORMADO;Tráfico de drogas;01/08/2015;;;Estadual;Formulário 4;2015;2015;8;3
AL;NÃO INFORMADO;Tráfico de drogas;01/08/2015;97;;Estadual;Formulário 4;2015;2015;8;3
AM;NÃO INFORMADO;Tráfico de drogas;01/08/2015;181;;Estadual;Formulário 4;2015;2015;8;3
AP;NÃO INFORMADO;Tráfico de drogas;01/08/2015;33;;Estadual;Formulário 4;2015;2015;8;3
BA;NÃO INFORMADO;Tráfico de drogas;01/08/2015;510;;Estadual;Formulário 4;2015;2015;8;3
CE;NÃO INFORMADO;Tráfico de drogas;01/08/2015;408;;Estadual;Formulário 4;2015;2015;8;3
DF;NÃO INFORMADO;Tráfico de drogas;01/08/2015;264;;Estadual;Formulário 4;2015;2015;8;3
GO;NÃO INFORMADO;Tráfico de drogas;01/08/2015;;;Estadual;Formulário 4;2015;2015;8;3
MA;NÃO INFORMADO;Tráfico de drogas;01/08/2015;167;;Estadual;Formulário 4;2015;2015;8;3
MG;NÃO INFORMADO;Tráfico de drogas;01/08/2015;2205;;Estadual;Formulário 4;2015;2015;8;3
MS;NÃO INFORMADO;Tráfico de drogas;01/08/2015;326;;Estadual;Formulário 4;2015;2015;8;3
MT;NÃO INFORMADO;Tráfico de drogas;01/08/2015;292;;Estadual;Formulário 4;2015;2015;8;3
PA;NÃO INFORMADO;Tráfico de drogas;01/08/2015;408;;Estadual;Formulário 4;2015;2015;8;3
PB;NÃO INFORMADO;Tráfico de drogas;01/08/2015;43;;Estadual;Formulário 4;2015;2015;8;3
PE;NÃO INFORMADO;Tráfico de drogas;01/08/2015;361;;Estadual;Formulário 4;2015;2015;8;3
PI;NÃO INFORMADO;Tráfico de drogas;01/08/2015;10;;Estadual;Formulário 4;2015;2015;8;3
PR;NÃO INFORMADO;Tráfico de drogas;01/08/2015;;;Estadual;Formulário 4;2015;2015;8;3
RJ;NÃO INFORMADO;Tráfico de drogas;01/08/2015;2270;;Estadual;Formulário 4;2015;2015;8;3
RN;NÃO INFORMADO;Tráfico de drogas;01/08/2015;16;;Estadual;Formulário 4;2015;2015;8;3
RO;NÃO INFORMADO;Tráfico de drogas;01/08/2015;87;;Estadual;Formulário 4;2015;2015;8;3
RR;NÃO INFORMADO;Tráfico de drogas;01/08/2015;;;Estadual;Formulário 4;2015;2015;8;3
RS;NÃO INFORMADO;Tráfico de drogas;01/08/2015;526;;Estadual;Formulário 4;2015;2015;8;3
SC;NÃO INFORMADO;Tráfico de drogas;01/08/2015;602;;Estadual;Formulário 4;2015;2015;8;3
SE;NÃO INFORMADO;Tráfico de drogas;01/08/2015;22;;Estadual;Formulário 4;2015;2015;8;3
SP;NÃO INFORMADO;Tráfico de drogas;01/08/2015;3935;;Estadual;Formulário 4;2015;2015;8;3
TO;NÃO INFORMADO;Tráfico de drogas;01/08/2015;;;Estadual;Formulário 4;2015;2015;8;3
AC;NÃO INFORMADO;Tráfico de drogas;01/09/2015;;;Estadual;Formulário 4;2015;2015;9;3
AL;NÃO INFORMADO;Tráfico de drogas;01/09/2015;78;;Estadual;Formulário 4;2015;2015;9;3
AM;NÃO INFORMADO;Tráfico de drogas;01/09/2015;176;;Estadual;Formulário 4;2015;2015;9;3
AP;NÃO INFORMADO;Tráfico de drogas;01/09/2015;32;;Estadual;Formulário 4;2015;2015;9;3
BA;NÃO INFORMADO;Tráfico de drogas;01/09/2015;502;;Estadual;Formulário 4;2015;2015;9;3
CE;NÃO INFORMADO;Tráfico de drogas;01/09/2015;383;;Estadual;Formulário 4;2015;2015;9;3
DF;NÃO INFORMADO;Tráfico de drogas;01/09/2015;164;;Estadual;Formulário 4;2015;2015;9;3
GO;NÃO INFORMADO;Tráfico de drogas;01/09/2015;;;Estadual;Formulário 4;2015;2015;9;3
MA;NÃO INFORMADO;Tráfico de drogas;01/09/2015;153;;Estadual;Formulário 4;2015;2015;9;3
MG;NÃO INFORMADO;Tráfico de drogas;01/09/2015;2083;;Estadual;Formulário 4;2015;2015;9;3
MS;NÃO INFORMADO;Tráfico de drogas;01/09/2015;308;;Estadual;Formulário 4;2015;2015;9;3
MT;NÃO INFORMADO;Tráfico de drogas;01/09/2015;308;;Estadual;Formulário 4;2015;2015;9;3
PA;NÃO INFORMADO;Tráfico de drogas;01/09/2015;354;;Estadual;Formulário 4;2015;2015;9;3
PB;NÃO INFORMADO;Tráfico de drogas;01/09/2015;29;;Estadual;Formulário 4;2015;2015;9;3
PE;NÃO INFORMADO;Tráfico de drogas;01/09/2015;359;;Estadual;Formulário 4;2015;2015;9;3
PI;NÃO INFORMADO;Tráfico de drogas;01/09/2015;35;;Estadual;Formulário 4;2015;2015;9;3
PR;NÃO INFORMADO;Tráfico de drogas;01/09/2015;;;Estadual;Formulário 4;2015;2015;9;3
RJ;NÃO INFORMADO;Tráfico de drogas;01/09/2015;2080;;Estadual;Formulário 4;2015;2015;9;3
RN;NÃO INFORMADO;Tráfico de drogas;01/09/2015;31;;Estadual;Formulário 4;2015;2015;9;3
RO;NÃO INFORMADO;Tráfico de drogas;01/09/2015;80;;Estadual;Formulário 4;2015;2015;9;3
RR;NÃO INFORMADO;Tráfico de drogas;01/09/2015;;;Estadual;Formulário 4;2015;2015;9;3
RS;NÃO INFORMADO;Tráfico de drogas;01/09/2015;472;;Estadual;Formulário 4;2015;2015;9;3
SC;NÃO INFORMADO;Tráfico de drogas;01/09/2015;586;;Estadual;Formulário 4;2015;2015;9;3
SE;NÃO INFORMADO;Tráfico de drogas;01/09/2015;31;;Estadual;Formulário 4;2015;2015;9;3
SP;NÃO INFORMADO;Tráfico de drogas;01/09/2015;3596;;Estadual;Formulário 4;2015;2015;9;3
TO;NÃO INFORMADO;Tráfico de drogas;01/09/2015;;;Estadual;Formulário 4;2015;2015;9;3
AC;NÃO INFORMADO;Tráfico de drogas;01/10/2015;;;Estadual;Formulário 4;2015;2015;10;4
AL;NÃO INFORMADO;Tráfico de drogas;01/10/2015;112;;Estadual;Formulário 4;2015;2015;10;4
AM;NÃO INFORMADO;Tráfico de drogas;01/10/2015;142;;Estadual;Formulário 4;2015;2015;10;4
AP;NÃO INFORMADO;Tráfico de drogas;01/10/2015;17;;Estadual;Formulário 4;2015;2015;10;4
BA;NÃO INFORMADO;Tráfico de drogas;01/10/2015;458;;Estadual;Formulário 4;2015;2015;10;4
CE;NÃO INFORMADO;Tráfico de drogas;01/10/2015;388;;Estadual;Formulário 4;2015;2015;10;4
DF;NÃO INFORMADO;Tráfico de drogas;01/10/2015;229;;Estadual;Formulário 4;2015;2015;10;4
GO;NÃO INFORMADO;Tráfico de drogas;01/10/2015;;;Estadual;Formulário 4;2015;2015;10;4
MA;NÃO INFORMADO;Tráfico de drogas;01/10/2015;142;;Estadual;Formulário 4;2015;2015;10;4
MG;NÃO INFORMADO;Tráfico de drogas;01/10/2015;2114;;Estadual;Formulário 4;2015;2015;10;4
MS;NÃO INFORMADO;Tráfico de drogas;01/10/2015;261;;Estadual;Formulário 4;2015;2015;10;4
MT;NÃO INFORMADO;Tráfico de drogas;01/10/2015;347;;Estadual;Formulário 4;2015;2015;10;4
PA;NÃO INFORMADO;Tráfico de drogas;01/10/2015;341;;Estadual;Formulário 4;2015;2015;10;4
PB;NÃO INFORMADO;Tráfico de drogas;01/10/2015;27;;Estadual;Formulário 4;2015;2015;10;4
